config_id,instance,fitness,population_size,generations,mutation_rate,elitism_size,tournament_size,alpha,gamma,epsilon_start,epsilon_end
1,n00050_R01000_s002.kp,20357,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00050_R01000_s003.kp,19733,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00050_R10000_s002.kp,207425,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00050_R10000_s003.kp,194340,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00100_R01000_s002.kp,27284,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00100_R01000_s003.kp,31598,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00100_R10000_s002.kp,271669,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00100_R10000_s003.kp,314473,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00200_R01000_s002.kp,69896,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00200_R01000_s003.kp,62187,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00200_R10000_s002.kp,698099,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00200_R10000_s003.kp,630296,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00500_R01000_s002.kp,149246,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00500_R01000_s003.kp,144377,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00500_R10000_s002.kp,1501311,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
1,n00500_R10000_s003.kp,1434762,562,552,0.1429,1,5,0.4532,0.5893,0.1403,0.0682
2,n00050_R01000_s002.kp,19540,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00050_R01000_s003.kp,19471,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00050_R10000_s002.kp,198716,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00050_R10000_s003.kp,196005,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00100_R01000_s002.kp,28042,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00100_R01000_s003.kp,30310,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00100_R10000_s002.kp,276530,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00100_R10000_s003.kp,317998,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00200_R01000_s002.kp,71216,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00200_R01000_s003.kp,62202,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00200_R10000_s002.kp,680901,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00200_R10000_s003.kp,609338,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00500_R01000_s002.kp,145472,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00500_R01000_s003.kp,142016,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00500_R10000_s002.kp,1440991,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
2,n00500_R10000_s003.kp,1414283,583,454,0.1849,2,5,0.3728,0.5136,0.0524,0.0762
3,n00050_R01000_s002.kp,20088,524,434,0.1305,1,5,0.4798,0.7264,0.1439,0.0218
