config_id,instance,fitness,population_size,generations,mutation_rate,crossover_op,mutation_op,elitism_size,tournament_size
1,n00050_R01000_s002.kp,21169,181,353,0.0393,uniform,swap,2,3
1,n00050_R01000_s003.kp,20997,181,353,0.0393,uniform,swap,2,3
1,n00050_R10000_s002.kp,211067,181,353,0.0393,uniform,swap,2,3
1,n00050_R10000_s003.kp,208539,181,353,0.0393,uniform,swap,2,3
1,n00100_R01000_s002.kp,32238,181,353,0.0393,uniform,swap,2,3
1,n00100_R01000_s003.kp,35516,181,353,0.0393,uniform,swap,2,3
1,n00100_R10000_s002.kp,320197,181,353,0.0393,uniform,swap,2,3
1,n00100_R10000_s003.kp,359276,181,353,0.0393,uniform,swap,2,3
1,n00200_R01000_s002.kp,78160,181,353,0.0393,uniform,swap,2,3
1,n00200_R01000_s003.kp,69311,181,353,0.0393,uniform,swap,2,3
1,n00200_R10000_s002.kp,764533,181,353,0.0393,uniform,swap,2,3
1,n00200_R10000_s003.kp,699028,181,353,0.0393,uniform,swap,2,3
1,n00500_R01000_s002.kp,159259,181,353,0.0393,uniform,swap,2,3
1,n00500_R01000_s003.kp,155385,181,353,0.0393,uniform,swap,2,3
1,n00500_R10000_s002.kp,1600375,181,353,0.0393,uniform,swap,2,3
1,n00500_R10000_s003.kp,1566045,181,353,0.0393,uniform,swap,2,3
2,n00050_R01000_s002.kp,21049,239,555,0.0558,uniform,swap,2,5
2,n00050_R01000_s003.kp,20997,239,555,0.0558,uniform,swap,2,5
2,n00050_R10000_s002.kp,211254,239,555,0.0558,uniform,swap,2,5
2,n00050_R10000_s003.kp,209864,239,555,0.0558,uniform,swap,2,5
2,n00100_R01000_s002.kp,32368,239,555,0.0558,uniform,swap,2,5
2,n00100_R01000_s003.kp,35364,239,555,0.0558,uniform,swap,2,5
2,n00100_R10000_s002.kp,314611,239,555,0.0558,uniform,swap,2,5
2,n00100_R10000_s003.kp,360534,239,555,0.0558,uniform,swap,2,5
2,n00200_R01000_s002.kp,77727,239,555,0.0558,uniform,swap,2,5
2,n00200_R01000_s003.kp,70869,239,555,0.0558,uniform,swap,2,5
2,n00200_R10000_s002.kp,784101,239,555,0.0558,uniform,swap,2,5
2,n00200_R10000_s003.kp,705731,239,555,0.0558,uniform,swap,2,5
2,n00500_R01000_s002.kp,163335,239,555,0.0558,uniform,swap,2,5
2,n00500_R01000_s003.kp,156490,239,555,0.0558,uniform,swap,2,5
2,n00500_R10000_s002.kp,1603530,239,555,0.0558,uniform,swap,2,5
2,n00500_R10000_s003.kp,1600090,239,555,0.0558,uniform,swap,2,5
3,n00050_R01000_s002.kp,20162,174,280,0.0907,uniform,swap,2,3
3,n00050_R01000_s003.kp,19901,174,280,0.0907,uniform,swap,2,3
3,n00050_R10000_s002.kp,204865,174,280,0.0907,uniform,swap,2,3
3,n00050_R10000_s003.kp,202285,174,280,0.0907,uniform,swap,2,3
3,n00100_R01000_s002.kp,28195,174,280,0.0907,uniform,swap,2,3
3,n00100_R01000_s003.kp,32033,174,280,0.0907,uniform,swap,2,3
3,n00100_R10000_s002.kp,287310,174,280,0.0907,uniform,swap,2,3
3,n00100_R10000_s003.kp,324989,174,280,0.0907,uniform,swap,2,3
3,n00200_R01000_s002.kp,70318,174,280,0.0907,uniform,swap,2,3
3,n00200_R01000_s003.kp,65155,174,280,0.0907,uniform,swap,2,3
3,n00200_R10000_s002.kp,707684,174,280,0.0907,uniform,swap,2,3
3,n00200_R10000_s003.kp,654909,174,280,0.0907,uniform,swap,2,3
3,n00500_R01000_s002.kp,151156,174,280,0.0907,uniform,swap,2,3
3,n00500_R01000_s003.kp,147040,174,280,0.0907,uniform,swap,2,3
3,n00500_R10000_s002.kp,1497555,174,280,0.0907,uniform,swap,2,3
3,n00500_R10000_s003.kp,1446290,174,280,0.0907,uniform,swap,2,3
4,n00050_R01000_s002.kp,21068,404,512,0.0773,uniform,swap,5,3
4,n00050_R01000_s003.kp,20738,404,512,0.0773,uniform,swap,5,3
4,n00050_R10000_s002.kp,206895,404,512,0.0773,uniform,swap,5,3
4,n00050_R10000_s003.kp,208915,404,512,0.0773,uniform,swap,5,3
4,n00100_R01000_s002.kp,29854,404,512,0.0773,uniform,swap,5,3
4,n00100_R01000_s003.kp,34890,404,512,0.0773,uniform,swap,5,3
4,n00100_R10000_s002.kp,303924,404,512,0.0773,uniform,swap,5,3
4,n00100_R10000_s003.kp,342923,404,512,0.0773,uniform,swap,5,3
4,n00200_R01000_s002.kp,72993,404,512,0.0773,uniform,swap,5,3
4,n00200_R01000_s003.kp,68557,404,512,0.0773,uniform,swap,5,3
4,n00200_R10000_s002.kp,736094,404,512,0.0773,uniform,swap,5,3
4,n00200_R10000_s003.kp,693579,404,512,0.0773,uniform,swap,5,3
4,n00500_R01000_s002.kp,156311,404,512,0.0773,uniform,swap,5,3
4,n00500_R01000_s003.kp,150565,404,512,0.0773,uniform,swap,5,3
4,n00500_R10000_s002.kp,1563335,404,512,0.0773,uniform,swap,5,3
4,n00500_R10000_s003.kp,1497990,404,512,0.0773,uniform,swap,5,3
5,n00050_R01000_s002.kp,20980,293,407,0.0576,uniform,swap,4,3
5,n00050_R01000_s003.kp,20872,293,407,0.0576,uniform,swap,4,3
5,n00050_R10000_s002.kp,210225,293,407,0.0576,uniform,swap,4,3
5,n00050_R10000_s003.kp,208042,293,407,0.0576,uniform,swap,4,3
5,n00100_R01000_s002.kp,31263,293,407,0.0576,uniform,swap,4,3
5,n00100_R01000_s003.kp,36145,293,407,0.0576,uniform,swap,4,3
5,n00100_R10000_s002.kp,305428,293,407,0.0576,uniform,swap,4,3
5,n00100_R10000_s003.kp,353587,293,407,0.0576,uniform,swap,4,3
5,n00200_R01000_s002.kp,75133,293,407,0.0576,uniform,swap,4,3
5,n00200_R01000_s003.kp,69371,293,407,0.0576,uniform,swap,4,3
5,n00200_R10000_s002.kp,762511,293,407,0.0576,uniform,swap,4,3
5,n00200_R10000_s003.kp,675729,293,407,0.0576,uniform,swap,4,3
5,n00500_R01000_s002.kp,157234,293,407,0.0576,uniform,swap,4,3
5,n00500_R01000_s003.kp,153482,293,407,0.0576,uniform,swap,4,3
5,n00500_R10000_s002.kp,1543886,293,407,0.0576,uniform,swap,4,3
5,n00500_R10000_s003.kp,1562940,293,407,0.0576,uniform,swap,4,3
6,n00050_R01000_s002.kp,21160,302,275,0.0435,uniform,swap,4,3
6,n00050_R01000_s003.kp,20997,302,275,0.0435,uniform,swap,4,3
6,n00050_R10000_s002.kp,209796,302,275,0.0435,uniform,swap,4,3
6,n00050_R10000_s003.kp,208614,302,275,0.0435,uniform,swap,4,3
6,n00100_R01000_s002.kp,31989,302,275,0.0435,uniform,swap,4,3
6,n00100_R01000_s003.kp,35577,302,275,0.0435,uniform,swap,4,3
6,n00100_R10000_s002.kp,319015,302,275,0.0435,uniform,swap,4,3
6,n00100_R10000_s003.kp,353260,302,275,0.0435,uniform,swap,4,3
6,n00200_R01000_s002.kp,77558,302,275,0.0435,uniform,swap,4,3
6,n00200_R01000_s003.kp,69410,302,275,0.0435,uniform,swap,4,3
6,n00200_R10000_s002.kp,763097,302,275,0.0435,uniform,swap,4,3
6,n00200_R10000_s003.kp,696173,302,275,0.0435,uniform,swap,4,3
6,n00500_R01000_s002.kp,159911,302,275,0.0435,uniform,swap,4,3
6,n00500_R01000_s003.kp,156600,302,275,0.0435,uniform,swap,4,3
6,n00500_R10000_s002.kp,1604478,302,275,0.0435,uniform,swap,4,3
6,n00500_R10000_s003.kp,1576512,302,275,0.0435,uniform,swap,4,3
7,n00050_R01000_s002.kp,20190,580,395,0.1979,uniform,swap,5,4
7,n00050_R01000_s003.kp,19873,580,395,0.1979,uniform,swap,5,4
7,n00050_R10000_s002.kp,199211,580,395,0.1979,uniform,swap,5,4
7,n00050_R10000_s003.kp,200767,580,395,0.1979,uniform,swap,5,4
7,n00100_R01000_s002.kp,27075,580,395,0.1979,uniform,swap,5,4
7,n00100_R01000_s003.kp,30545,580,395,0.1979,uniform,swap,5,4
7,n00100_R10000_s002.kp,277468,580,395,0.1979,uniform,swap,5,4
7,n00100_R10000_s003.kp,310244,580,395,0.1979,uniform,swap,5,4
7,n00200_R01000_s002.kp,67272,580,395,0.1979,uniform,swap,5,4
7,n00200_R01000_s003.kp,63041,580,395,0.1979,uniform,swap,5,4
7,n00200_R10000_s002.kp,683645,580,395,0.1979,uniform,swap,5,4
7,n00200_R10000_s003.kp,623105,580,395,0.1979,uniform,swap,5,4
7,n00500_R01000_s002.kp,145414,580,395,0.1979,uniform,swap,5,4
7,n00500_R01000_s003.kp,143727,580,395,0.1979,uniform,swap,5,4
7,n00500_R10000_s002.kp,1450885,580,395,0.1979,uniform,swap,5,4
7,n00500_R10000_s003.kp,1424538,580,395,0.1979,uniform,swap,5,4
8,n00050_R01000_s002.kp,20164,311,539,0.1437,single_point,swap,3,3
8,n00050_R01000_s003.kp,19971,311,539,0.1437,single_point,swap,3,3
8,n00050_R10000_s002.kp,199316,311,539,0.1437,single_point,swap,3,3
8,n00050_R10000_s003.kp,204323,311,539,0.1437,single_point,swap,3,3
8,n00100_R01000_s002.kp,28364,311,539,0.1437,single_point,swap,3,3
8,n00100_R01000_s003.kp,30945,311,539,0.1437,single_point,swap,3,3
8,n00100_R10000_s002.kp,273068,311,539,0.1437,single_point,swap,3,3
8,n00100_R10000_s003.kp,320403,311,539,0.1437,single_point,swap,3,3
8,n00200_R01000_s002.kp,68075,311,539,0.1437,single_point,swap,3,3
8,n00200_R01000_s003.kp,62791,311,539,0.1437,single_point,swap,3,3
8,n00200_R10000_s002.kp,684022,311,539,0.1437,single_point,swap,3,3
8,n00200_R10000_s003.kp,637460,311,539,0.1437,single_point,swap,3,3
8,n00500_R01000_s002.kp,145614,311,539,0.1437,single_point,swap,3,3
8,n00500_R01000_s003.kp,143194,311,539,0.1437,single_point,swap,3,3
8,n00500_R10000_s002.kp,1486335,311,539,0.1437,single_point,swap,3,3
